Net Status Report
Filename     : D:\1_AltiumProject\29_DAL_OBC\SpaceLiinTech_BEE_DAL_OBC_HW\01_DESIGN\DAL_OBC_V10.PcbDoc
Date         : 7/21/2026
Time         : 10:23:16 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    VDD_1V35, Signal Layers Only, 0mm
    VDD_3V3, Signal Layers Only, 0mm
    VDD_3V3_MPU, Signal Layers Only, 0mm
    VLDO1, Signal Layers Only, 0mm
    VLDO2, Signal Layers Only, 0mm
    VUSB, Signal Layers Only, 0mm
    WKUP, Signal Layers Only, 5.4476mm
    XIN, Signal Layers Only, 6.9309mm
    XIN32, Signal Layers Only, 7.0888mm
    XIN_24M, Signal Layers Only, 0mm
    XOUT, Signal Layers Only, 5.8747mm
    XOUT32, Signal Layers Only, 4.7225mm
    XOUT_24M, Signal Layers Only, 0.5838mm
    _PA0, Signal Layers Only, 13.36mm
    _PA1, Signal Layers Only, 10.4817mm
    _PA10, Signal Layers Only, 10.646mm
    _PA11, Signal Layers Only, 13.0252mm
    _PA12, Signal Layers Only, 6.9776mm
    _PA13, Signal Layers Only, 5.8562mm
    _PA14, Signal Layers Only, 3.7774mm
    _PA17, Signal Layers Only, 6.8273mm
    _PA18, Signal Layers Only, 8.4148mm
    _PA19, Signal Layers Only, 7.5048mm
    _PA2, Signal Layers Only, 15.7303mm
    _PA20, Signal Layers Only, 3.5302mm
    _PA21, Signal Layers Only, 4.6908mm
    _PA22, Signal Layers Only, 6.9897mm
    _PA26, Signal Layers Only, 9.4469mm
    _PA27, Signal Layers Only, 3.3903mm
    _PA28, Signal Layers Only, 7.5197mm
    _PA29, Signal Layers Only, 4.6637mm
    _PA3, Signal Layers Only, 14.4882mm
    _PA30, Signal Layers Only, 0mm
    _PA31, Signal Layers Only, 5.2601mm
